product_id,product_name,symbol,asset_type,origin,provider,branch,unit,conversion_to_oz
1,"Vàng SJC 1L, 10L, 1KG",2,Gold,Local,SJC,Miền Bắc,Lượng,1.205653
2,"Vàng SJC 1L, 10L, 1KG",10,Gold,Local,SJC,Quảng Ngãi,Lượng,1.205653
3,"Vàng SJC 1L, 10L, 1KG",4,Gold,Local,SJC,Nha Trang,Lượng,1.205653
4,"Vàng SJC 5 chỉ",17,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
5,"Vàng SJC 1L, 10L, 1KG",1,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
6,"Vàng SJC 1L, 10L, 1KG",7,Gold,Local,SJC,Huế,Lượng,1.205653
7,"Vàng SJC 1L, 10L, 1KG",177,Gold,Local,SJC,Hải Phòng,Lượng,1.205653
8,"Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ",65,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
9,"Nữ trang 68%",129,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
10,"Nữ trang 99,99%",81,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
11,"Vàng SJC 1L, 10L, 1KG",5,Gold,Local,SJC,Cà Mau,Lượng,1.205653
12,"Nữ trang 61%",210,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
13,"Nữ trang 99%",97,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
14,"Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ",49,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
15,"Vàng SJC 1L, 10L, 1KG",16,Gold,Local,SJC,Bạc Liêu,Lượng,1.205653
16,"Vàng SJC 1L, 10L, 1KG",188,Gold,Local,SJC,Miền Trung,Lượng,1.205653
17,"Nữ trang 41,7%",161,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
18,"Nữ trang 75%",113,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
19,"Nữ trang 58,3%",145,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
20,"Vàng SJC 1L, 10L, 1KG",8,Gold,Local,SJC,Biên Hòa,Lượng,1.205653
21,"Vàng SJC 1L, 10L, 1KG",13,Gold,Local,SJC,Hạ Long,Lượng,1.205653
22,"Vàng SJC 1L, 10L, 1KG",9,Gold,Local,SJC,Miền Tây,Lượng,1.205653
23,"Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ",33,Gold,Local,SJC,Hồ Chí Minh,Lượng,1.205653
24,Gold,XAU,Gold,Global,Goldprice,New York,Ounce,1
25,Silver,XAG,Silver,Global,Goldprice,New York,Ounce,1
26,PAX Gold,PAXGUSDT,Crypto,Global,Binance,,Token,1
